Order;Sample ID;Sample description;BioProject;Run - SRA;Sequencing techniques;Sequencing paper;Paper also using it;Download;Origin grains;;;
358;TG_ID010_ML_T4_S80;24h every 1-3 day for 13 week ;PRJEB77409;ERR14783410;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
315;TG_ID010_ML_T5_S120;24h every 1-3 day for 17 week ;PRJEB77409;ERR14783411;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
391;TG_ID011_ML_T3_S113;24h every 1-3 day for 9 week ;PRJEB77409;ERR14783416;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
316;TG_ID011_ML_T6_S52;24h every 1-3 day for 21 week ;PRJEB77409;ERR14783418;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
317;TG_ID012_ML_T1_S367;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783424;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
359;TG_ID012_ML_T2_S308;24h every 1-3 day for 5 week ;PRJEB77409;ERR14783425;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
318;TG_ID012_ML_T4_S140;24h every 1-3 day for 13 week ;PRJEB77409;ERR14783426;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
360;TG_ID012_ML_T5_S141;24h every 1-3 day for 17 week ;PRJEB77409;ERR14783427;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
319;TG_ID013_ML_T1_S150;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783429;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
393;TG_ID014_ML_T2_S4;24h every 1-3 day for 5 week ;PRJEB77409;ERR14783433;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
394;TG_ID014_ML_T3_S81;24h every 1-3 day for 9 week ;PRJEB77409;ERR14783434;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
395;TG_ID020_ML_T1_S142;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783439;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
396;TG_ID020_ML_T2_S300;24h every 1-3 day for 5 week ;PRJEB77409;ERR14783440;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
397;TG_ID020_ML_T3_S143;24h every 1-3 day for 9 week ;PRJEB77409;ERR14783441;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
320;TG_ID020_ML_T4_S144;24h every 1-3 day for 13 week ;PRJEB77409;ERR14783442;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
321;TG_ID026_ML_T2_S157;24h every 1-3 day for 5 week ;PRJEB77409;ERR14783446;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
322;TG_ID026_ML_T4_S151;24h every 1-3 day for 13 week ;PRJEB77409;ERR14783447;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
398;TG_ID029_ML_T1_S145;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783453;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
