"sample","tFermentation","bioproject","sequenceur","origin","short_name","count"
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPFB",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","PBP4B",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ROBA",1
"ERR14783418","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783424","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BLAC",1
"ERR14783424","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",2
"ERR14783424","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXA",1
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",2
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",2
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CMY",2
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CTX",1
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","HNS",2
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",2
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP37",1
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",2
"ERR14783425","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPFB",1
"ERR14783426","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783427","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783429","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783433","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",1
"ERR14783433","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",1
"ERR14783433","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783433","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPK36",1
"ERR14783434","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783439","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783440","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783441","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783442","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783446","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783447","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783453","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783454","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783455","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783456","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783459","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783460","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783464","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRF",1
"ERR14783464","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CRP",1
"ERR14783464","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CTX",1
"ERR14783464","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",1
"ERR14783464","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783465","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783466","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783473","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","LIAFSR",2
"ERR14783474","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783475","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783476","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783483","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783484","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783484","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPK36",1
"ERR14783485","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783485","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","RPOCL",1
"ERR14783486","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783487","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783492","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783493","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",2
"ERR14783494","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783495","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783500","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",1
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",1
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRF",1
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CMY",2
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","HNS",1
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",1
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783501","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPFB",1
"ERR14783502","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783503","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",1
"ERR14783503","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",1
